[2018-02-16 17:01:24,918] DEBUG: Initializing database.
[2018-02-16 17:01:26,274] DEBUG: Initializing database.
[2018-02-16 17:03:54,672] DEBUG: Initializing database.
[2018-02-16 17:03:55,604] DEBUG: Initializing database.
[2018-02-16 17:04:12,071] DEBUG: Initializing database.
[2018-02-16 17:04:22,483] DEBUG: Initializing database.
[2018-02-16 17:04:23,312] DEBUG: Initializing database.
[2018-02-16 17:04:59,764] INFO: Setting form section 'mqtt' is valid.
[2018-02-16 17:04:59,766] INFO: Setting form section 'discovery' is valid.
[2018-02-16 17:04:59,768] INFO: Write changes into config file.
[2018-02-16 17:05:01,220] INFO: Setting form section 'mqtt' is valid.
[2018-02-16 17:05:01,221] INFO: Setting form section 'discovery' is valid.
[2018-02-16 17:05:01,224] INFO: Write changes into config file.
[2018-02-16 17:05:03,225] INFO: Setting form section 'mqtt' is valid.
[2018-02-16 17:05:03,227] INFO: Setting form section 'discovery' is valid.
[2018-02-16 17:05:03,228] INFO: Write changes into config file.
[2018-02-16 17:12:38,318] DEBUG: Initializing database.
[2018-02-16 17:13:36,222] DEBUG: Initializing database.
[2018-02-16 17:13:37,086] DEBUG: Initializing database.
